year,co2,ch4,n2o
2118,1107.1765,3774.7511,457.89702
2119,1116.9122,3772.3388,459.05546
2120,1126.6592,3769.5675,460.20319
2121,1136.4015,3766.3392,461.34033
2122,1146.1344,3762.7938,462.46696
2123,1155.9064,3759.0657,463.58317
2124,1165.7401,3755.2678,464.68908
2125,1175.6176,3751.5152,465.78476
2126,1185.5295,3747.8324,466.87031
2127,1195.4833,3744.1677,467.94583
2128,1205.4772,3740.4818,469.0114
2129,1215.4661,3736.761,470.06712
2130,1225.453,3732.9982,471.11307
2131,1235.4493,3729.0271,472.14935
2132,1245.419,3724.7357,473.17605
2133,1255.397,3720.2514,474.19324
2134,1265.4211,3715.7001,475.20102
2135,1275.4843,3711.1863,476.19948
2136,1285.5943,3706.8175,477.1887
2137,1295.7632,3702.6108,478.16876
2138,1305.9625,3698.5055,479.13975
2139,1316.1708,3694.454,480.10175
2140,1326.3936,3690.4353,481.05484
2141,1336.6283,3686.4355,481.9991
2142,1346.8594,3682.2832,482.93463
2143,1357.0727,3677.8602,483.86148
2144,1367.2797,3673.2877,484.77975
2145,1377.5097,3668.6894,485.68952
2146,1387.793,3664.168,486.59085
2147,1398.1376,3659.8281,487.48384
2148,1408.5226,3655.6842,488.36855
2149,1418.9467,3651.6726,489.24506
2150,1429.3969,3647.7413,490.11345
2151,1439.8354,3643.8653,490.97378
2152,1450.2111,3640.057,491.82356
2153,1460.4793,3636.1713,492.66027
2154,1470.5915,3632.0838,493.48397
2155,1480.5564,3627.9101,494.29476
2156,1490.4552,3623.7717,495.09271
2157,1500.2994,3619.7692,495.87793
2158,1510.0573,3616.0047,496.65053
2159,1519.7332,3612.4911,497.41063
2160,1529.3276,3609.1618,498.15835
2161,1538.8274,3605.9611,498.89379
2162,1548.2214,3602.8606,499.61708
2163,1557.5025,3599.8406,500.32833
2164,1566.6838,3596.7269,501.02764
2165,1575.7093,3593.3957,501.71513
2166,1584.5792,3589.9621,502.3909
2167,1593.389,3586.5497,503.05507
2168,1602.1444,3583.2613,503.70774
2169,1610.8232,3580.2003,504.34901
